"name","price","oldPrice","discount","rating","url","image"
"Children Shoes Kid's Sports Shoes Anti slip Boys Board Sneakers Soft Sole Baby","KSh 1,340","KSh 3,350","60%",,"https://www.jumia.co.ke/fashion-children-shoes-kids-sports-shoes-anti-slip-boys-board-sneakers-soft-sole-baby-326426949.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/9624623/1.jpg?4269"
"AIDAILU Men's Formal Leather Shoes Business Elegant Shoes - Black","KSh 1,206","KSh 2,010","40%",,"https://www.jumia.co.ke/aidailu-mens-formal-leather-shoes-business-elegant-shoes-black-325632845.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/8236523/1.jpg?6487"
"EU40-47 Wholesale Large-size Men's Shoes British-style Men's Casual Leather Shoes Tassel Loafers Slip-on Moccasins Formal Shoes Mens Shoes Loafers Shoes Business Shoes Flats Shoes For Mens Work Shoes","KSh 899","KSh 2,412","63%",,"https://www.jumia.co.ke/fashion-eu40-47-wholesale-large-size-mens-shoes-british-style-mens-casual-leather-shoes-tassel-loafers-slip-on-moccasins-formal-shoes-mens-shoes-loafers-shoes-business-shoes-flats-shoes-for-mens-work-shoes-327321154.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/1123723/1.jpg?2182"
"VANHUHU Men's Italian Corporate Classic Formal Loafers Slip-Ons Flat Business Shoes Black","KSh 2,600","KSh 3,350","22%",,"https://www.jumia.co.ke/vanhuhu-mens-italian-corporate-classic-formal-loafers-slip-ons-flat-business-shoes-black-325438705.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/7834523/1.jpg?1732"
"SXCHEN  Men's Shoes Oxfords Business Casual Leather Shoes Formal Shoes","KSh 683","KSh 1,127","39%",,"https://www.jumia.co.ke/sxchen-mens-shoes-oxfords-business-casual-leather-shoes-formal-shoes-191307445.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/4703191/1.jpg?0502"
"BLWOENS Men's Formal Shoes Tuxedo Dress Shoes Classic Oxfords Faux Patent Leather Shoe Lace-up Dress Shoes for Business Wedding Suit - Black","KSh 1,206","KSh 2,010","40%",,"https://www.jumia.co.ke/blwoens-mens-formal-shoes-tuxedo-dress-shoes-classic-oxfords-faux-patent-leather-shoe-lace-up-dress-shoes-for-business-wedding-suit-black-269541532.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/5145962/1.jpg?2540"
"RahaLife 5 Layers Shoes Racks Assemble Shelves Storage Organizing Rack Small Furniturer","KSh 699","KSh 1,699","59%",,"https://www.jumia.co.ke/generic-rahalife-5-layers-shoes-racks-assemble-shelves-storage-organizing-rack-small-furniturer-327885604.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/6588723/1.jpg?3135"
"BLWOENS Men's Leather Shoes Oxford Shoes for Men Formal Shoes Pointed Lace Up Business Tuxedo Shoes- Black","KSh 1,206","KSh 2,144","44%",,"https://www.jumia.co.ke/blwoens-mens-leather-shoes-oxford-shoes-for-men-formal-shoes-pointed-lace-up-business-tuxedo-shoes-black-269541523.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/5145962/1.jpg?5100"
"GLARPEBIE Men's Formal Shoes Leather Shoes for Men Formal Pointed Business Tuxedo Shoes - Black","KSh 1,206","KSh 2,412","50%",,"https://www.jumia.co.ke/glarpebie-mens-formal-shoes-leather-shoes-for-men-formal-pointed-business-tuxedo-shoes-black-325815301.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/3518523/1.jpg?6395"
"Arsuxeo 4-13 Years Kids Shoes Sneakers Children Casual Boys Board Shoes","KSh 938","KSh 4,020","77%",,"https://www.jumia.co.ke/arsuxeo-4-13-years-kids-shoes-sneakers-children-casual-boys-board-shoes-326689967.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/9986623/1.jpg?6398"
"VEOUNDK Men's Low-Top Martin Boots - Black","KSh 986","KSh 2,025","51%",,"https://www.jumia.co.ke/veoundk-mens-low-top-martin-boots-black-327482316.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/3284723/1.jpg?4665"
"RahaLife 7 Layers Shoes Racks Assemble Shelves Storage Organizing Rack Small Furniturer","KSh 869","KSh 1,999","57%",,"https://www.jumia.co.ke/generic-rahalife-7-layers-shoes-racks-assemble-shelves-storage-organizing-rack-small-furniturer-326704557.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/5407623/1.jpg?6850"
"Men's Formal Flat Business Shoes Loafers Italian Official Black","KSh 1,601","KSh 2,412","34%",,"https://www.jumia.co.ke/fashion-mens-formal-flat-business-shoes-loafers-italian-official-black-326480486.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/4084623/1.jpg?6647"
"Men's Oxford shoes, business formal wear, wedding shoes, office shoes, brogue shoes, carved pattern - black","KSh 1,279","KSh 3,350","62%",,"https://www.jumia.co.ke/fashion-mens-oxford-shoes-business-formal-wear-wedding-shoes-office-shoes-brogue-shoes-carved-pattern-black-326335830.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/8533623/1.jpg?1732"
"Amazing Men Glossy Tassel Brogue Leather Shoes Loafers & Slip-ons Formal Corporate Black","KSh 1,210","KSh 4,020","70%",,"https://www.jumia.co.ke/amazing-men-glossy-tassel-brogue-leather-shoes-loafers-slip-ons-formal-corporate-black-325425634.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/6524523/1.jpg?3240"
"Banagat Men's Comfortable Casual Loafers & Slip-ons Formal Corporate Shoes Brown","KSh 2,900","KSh 4,690","38%",,"https://www.jumia.co.ke/banagat-mens-comfortable-casual-loafers-slip-ons-formal-corporate-shoes-brown-325719701.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/7917523/1.jpg?4341"
"Banagat Men's Black PU Leather Slip-On Formal Loafers","KSh 2,950","KSh 6,030","51%",,"https://www.jumia.co.ke/banagat-mens-black-pu-leather-slip-on-formal-loafers-325681473.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/4186523/1.jpg?4332"
"Arsuxeo Baby Children Sandals Cute Cartoon Boys Infants Walking Shoes","KSh 134","KSh 2,144","94%",,"https://www.jumia.co.ke/arsuxeo-baby-children-sandals-cute-cartoon-boys-infants-walking-shoes-326530179.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/1035623/1.jpg?1022"
"GLARPEBIE Men's Formal Shoes Leather Shoes for Men Formal Pointed Business Tuxedo Shoes  - Black","KSh 1,206","KSh 2,412","50%",,"https://www.jumia.co.ke/glarpebie-mens-formal-shoes-leather-shoes-for-men-formal-pointed-business-tuxedo-shoes-black-325815296.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/2518523/1.jpg?6391"
"Banagat Men's Brown PU Leather Lace-Up Formal Shoes","KSh 2,203","KSh 2,474","11%",,"https://www.jumia.co.ke/banagat-mens-brown-pu-leather-lace-up-formal-shoes-169860866.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/8068961/1.jpg?7144"
"BLWOENS Men's Formal Shoes Tuxedo Dress Shoes Classic Oxfords Faux Patent Leather Shoes for Men Lace-up Dress Shoes for Business Wedding Suit - Black","KSh 1,206","KSh 2,144","44%",,"https://www.jumia.co.ke/blwoens-mens-formal-shoes-tuxedo-dress-shoes-classic-oxfords-faux-patent-leather-shoes-for-men-lace-up-dress-shoes-for-business-wedding-suit-black-325815277.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/2518523/1.jpg?6309"
"SXCHEN Men's Stylish Business Formal Office Leather Shoes","KSh 1,119","KSh 2,238","50%",,"https://www.jumia.co.ke/sxchen-mens-stylish-business-formal-office-leather-shoes-314593190.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/1395413/1.jpg?9880"
"Lindy Single Row 9 Layer Shoe Wardrobe - Red","KSh 1,340","KSh 2,680","50%",,"https://www.jumia.co.ke/lindy-single-row-9-layer-shoe-wardrobe-red-300560321.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/3065003/1.jpg?9471"
"TIMBUTUS 5-layer Steel Pipe Shoe Rack (56 * 25.5 * 90cm)","KSh 1,581","KSh 3,350","53%",,"https://www.jumia.co.ke/timbutus-5-layer-steel-pipe-shoe-rack-56-25.5-90cm-303189222.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/2981303/1.jpg?6553"
"Yxahee Shoe Rack Stackable Assembly Shoe Clothes Organizer-6 Layers","KSh 1,453","KSh 2,005","28%",,"https://www.jumia.co.ke/yxahee-shoe-rack-stackable-assembly-shoe-clothes-organizer-6-layers-274321014.html?seller_product=1","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/0123472/1.jpg?6626"
"Yxahee  3PCS PP Plastic Clear Shoe Boxes - Foldable Storage Organizer, Stackable for Dorm/Home, Space-Saving Shoe Cabinet Case","KSh 1,474","KSh 2,680","45%",,"https://www.jumia.co.ke/yxahee-3pcs-pp-plastic-clear-shoe-boxes-foldable-storage-organizer-stackable-for-dormhome-space-saving-shoe-cabinet-case-327528747.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/7825723/1.jpg?6209"
"Yxahee Classy 3 Column Mobile Steel Wardrobe Closet(Red)","KSh 2,412","KSh 4,509","47%",,"https://www.jumia.co.ke/yxahee-classy-3-column-mobile-steel-wardrobe-closetred-297108683.html?seller_product=1","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/6801792/1.jpg?2382"
"TIMBUTUS 6-Tier Steel Pipe Shoe Rack","KSh 1,273","KSh 2,010","37%",,"https://www.jumia.co.ke/timbutus-6-tier-steel-pipe-shoe-rack-315586547.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/5685513/1.jpg?8243"
"Lindy 8 Tier Shoe Rack - Silver/Black","KSh 995","KSh 1,350","26%",,"https://www.jumia.co.ke/lindy-8-tier-shoe-rack-silverblack-326119429.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/4911623/1.jpg?3347"
"Yxahee 5-Tier  Multifunctional Freestanding Shoe Rack Collapsible Shoe Rack","KSh 1,005","KSh 2,010","50%",,"https://www.jumia.co.ke/yxahee-5-tier-multifunctional-freestanding-shoe-rack-collapsible-shoe-rack-327616106.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/1616723/1.jpg?6310"
"LM 6-Tier Shoe Organizer with Translucent Panels, Space-Saving Shoe Storage Cabinet for Entrance & Home, 28×58×117cm","KSh 1,399","KSh 2,010","30%",,"https://www.jumia.co.ke/lm-6-tier-shoe-organizer-with-translucent-panels-space-saving-shoe-storage-cabinet-for-entrance-home-2858117cm-327990966.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/9099723/1.jpg?6182"
"VANHUHU Men's Italian Formal Oxford Loafers Lace up Flat Business Shoes Black","KSh 1,981","KSh 2,412","18%",,"https://www.jumia.co.ke/vanhuhu-mens-italian-formal-oxford-loafers-lace-up-flat-business-shoes-black-326347332.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/3743623/1.jpg?3272"
"Lindy Dustproof Single Wardrobe, Coffee","KSh 1,407","KSh 3,350","58%",,"https://www.jumia.co.ke/lindy-dustproof-single-wardrobe-coffee-326421887.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/8124623/1.jpg?4875"
"LM Mobile Garment Rack with Hanging Rail & Storage Shelves, Space-Saving Clothes Organizer with Wheels, Black","KSh 1,420","KSh 1,742","19%",,"https://www.jumia.co.ke/lm-mobile-garment-rack-with-hanging-rail-storage-shelves-space-saving-clothes-organizer-with-wheels-black-327991017.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/0199723/1.jpg?7619"
"Shoe Rack Organizer for Entryway Space-Saving Design for Efficient Shoe Storage and Easy to Clean for Closets and Living Spaces","KSh 1,399","KSh 3,288","58%",,"https://www.jumia.co.ke/generic-shoe-rack-organizer-for-entryway-space-saving-design-for-efficient-shoe-storage-and-easy-to-clean-for-closets-and-living-spaces-326496878.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/8694623/1.jpg?9672"
"LM 5-Tier Multifunctional Shoe Rack, Space-Saving Shoe & Storage Organizer for Entrance Bedroom Dormitory, White","KSh 1,435","KSh 1,742","18%",,"https://www.jumia.co.ke/lm-5-tier-multifunctional-shoe-rack-space-saving-shoe-storage-organizer-for-entrance-bedroom-dormitory-white-327990870.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/8099723/1.jpg?5913"
"Lindy Single Row 9 Layer Shoe Wardrobe - Brown","KSh 1,206","KSh 2,680","55%",,"https://www.jumia.co.ke/lindy-single-row-9-layer-shoe-wardrobe-brown-325684631.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/6486523/1.jpg?4045"
"Lindy Foldable Closet Cabinet - 10 Shelves - Grey","KSh 2,010","KSh 2,680","25%",,"https://www.jumia.co.ke/foldable-closet-cabinet-10-shelves-grey-lindy-mpg9519558.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/0182523/1.jpg?5010"
"TIMBUTUS 7-layer Steel Pipe Shoe Rack (56 * 25.5 * 125cm)","KSh 1,648","KSh 2,680","39%",,"https://www.jumia.co.ke/timbutus-7-layer-steel-pipe-shoe-rack-56-25.5-125cm-319350213.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/2053913/1.jpg?0328"
"VANHUHU Men's Italian Formal Loafers & Slip-Ons Flat Business Shoes Black","KSh 2,010","KSh 2,412","17%",,"https://www.jumia.co.ke/vanhuhu-mens-italian-formal-loafers-slip-ons-flat-business-shoes-black-327523048.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/0325723/1.jpg?4296"
"SHJO Loafers Men Comfortable Business Faux Leather Lightweight Slip-on Driving Moccasins Casual Shoes - Black","KSh 648","KSh 1,474","56%",,"https://www.jumia.co.ke/shjo-loafers-men-comfortable-business-faux-leather-lightweight-slip-on-driving-moccasins-casual-shoes-black-326562727.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/7265623/1.jpg?6811"
"Banagat Men's Black PU Leather Slip-On Formal Loafers","KSh 2,950","KSh 6,030","51%",,"https://www.jumia.co.ke/banagat-mens-black-pu-leather-slip-on-formal-loafers-325681473.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/4186523/1.jpg?4332"
"Men's Black Business Leather Slip-On Formal Shoes","KSh 1,587","KSh 3,087","49%",,"https://www.jumia.co.ke/fashion-mens-black-business-leather-slip-on-formal-shoes-314491006.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/0194413/1.jpg?8308"
"Men's Black Loafers - Casual Slip-On Business Shoes Rubber Sole","KSh 1,301","KSh 2,412","46%",,"https://www.jumia.co.ke/fashion-mens-black-loafers-casual-slip-on-business-shoes-rubber-sole-326458753.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/7854623/1.jpg?7122"
"Men's  Formal Glossy Tassel Brogue Shoes Loafers & Slip-ons Formal Black","KSh 2,137 - KSh 2,726","KSh 3,087","31%",,"https://www.jumia.co.ke/fashion-mens-formal-glossy-tassel-brogue-shoes-loafers-slip-ons-formal-black-178013928.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/9310871/1.jpg?8535"
"Men's Formal Oxford Official Corporate Lace up Flat Business Shoes Black","KSh 1,800","KSh 2,412","25%",,"https://www.jumia.co.ke/fashion-mens-formal-oxford-official-corporate-lace-up-flat-business-shoes-black-326458043.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/0854623/1.jpg?2761"
"Lindy Single Row 9 Layer Shoe Wardrobe, Grey","KSh 1,541","KSh 2,680","43%",,"https://www.jumia.co.ke/lindy-single-row-9-layer-shoe-wardrobe-grey-300560306.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/3065003/1.jpg?9487"
"TIMBUTUS Dustproof Shoe Rack Organizer – 7-layer Storage Cabinet with Cover  (60 * 30 * 123cm)","KSh 1,474","KSh 2,680","45%",,"https://www.jumia.co.ke/timbutus-dustproof-shoe-rack-organizer-7-layer-storage-cabinet-with-cover-60-30-123cm-325317704.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/7713523/1.jpg?3816"
"Yxahee 6-Tier  Multifunctional Freestanding Shoe Rack Collapsible Shoe Rack","KSh 1,072","KSh 2,204","51%",,"https://www.jumia.co.ke/yxahee-6-tier-multifunctional-freestanding-shoe-rack-collapsible-shoe-rack-167092129.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/1290761/1.jpg?6783"
"5-Tier Freestanding Coat Rack & Shoe Organizer - White","KSh 1,150","KSh 2,010","43%",,"https://www.jumia.co.ke/generic-5-tier-freestanding-coat-rack-shoe-organizer-white-327436845.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/8634723/1.jpg?8298"
"Banagat Men's Black PU Leather Casual Oxfords Shoes","KSh 1,770 - KSh 2,258","KSh 2,680","34%",,"https://www.jumia.co.ke/banagat-mens-black-pu-leather-casual-oxfords-shoes-317205452.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/4502713/1.jpg?0309"
"Men's Formal Flat Business Shoes Loafers Italian Official Black","KSh 1,601","KSh 2,412","34%",,"https://www.jumia.co.ke/fashion-mens-formal-flat-business-shoes-loafers-italian-official-black-326480486.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/4084623/1.jpg?6647"
"VANHUHU Men's Italian Formal Loafers Lace up Flat Business Shoes Gold","KSh 2,350","KSh 2,680","12%",,"https://www.jumia.co.ke/vanhuhu-mens-italian-formal-loafers-lace-up-flat-business-shoes-gold-327518056.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/0815723/1.jpg?5057"
"VANHUHU Men's Italian Formal Loafers & Slip-Ons Flat Business Shoes Black","KSh 1,742","KSh 2,010","13%",,"https://www.jumia.co.ke/vanhuhu-mens-italian-formal-loafers-slip-ons-flat-business-shoes-black-327797228.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/2797723/1.jpg?2853"
"VEOUNDK Men's Low-Top Martin Boots - Black","KSh 986","KSh 2,025","51%",,"https://www.jumia.co.ke/veoundk-mens-low-top-martin-boots-black-327482316.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/3284723/1.jpg?4665"
"VEOUNDK New Men's Fashion Leather Shoes - black","KSh 1,327","KSh 2,144","38%",,"https://www.jumia.co.ke/veoundk-new-mens-fashion-leather-shoes-black-327524812.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/8425723/1.jpg?6103"
"GALUIN Men's Flat Designer Footwear Breathable Casual Loafers Italian Shoes Black","KSh 780","KSh 1,674","53%",,"https://www.jumia.co.ke/galuin-mens-flat-designer-footwear-breathable-casual-loafers-italian-shoes-black-305033384.html","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/3330503/1.jpg?4848"
